benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
geomlama,code_strict,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3625,0.3625,,0,0,80,80,1,1,1,1,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows;positive_constant_scores;negative_constant_scores,results/external_protocol_probes/geomlama/code_strict/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/code_strict/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/code_strict/maple_1b/seed_41/geomlama
geomlama,country_first,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3625,0.3625,,0,0,80,80,1,1,1,1,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows;positive_constant_scores;negative_constant_scores,results/external_protocol_probes/geomlama/country_first/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/country_first/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/country_first/maple_1b/seed_41/geomlama
geomlama,disambiguate_cal,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3625,0.3625,,0,0,80,80,1,1,1,1,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows;positive_constant_scores;negative_constant_scores,results/external_protocol_probes/geomlama/disambiguate_cal/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/disambiguate_cal/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/disambiguate_cal/maple_1b/seed_41/geomlama
geomlama,legacy_pair,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3625,0.3625,,0,0,80,80,1,1,1,1,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows;positive_constant_scores;negative_constant_scores,results/external_protocol_probes/geomlama/legacy_pair/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/legacy_pair/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/legacy_pair/maple_1b/seed_41/geomlama
geomlama,plain_grounded,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3625,0.3625,,0,0,80,80,1,1,1,1,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows;positive_constant_scores;negative_constant_scores,results/external_protocol_probes/geomlama/plain_grounded/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/plain_grounded/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/plain_grounded/maple_1b/seed_41/geomlama
geomlama,strict_country,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3625,0.3625,,0,0,80,80,1,1,1,1,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows;positive_constant_scores;negative_constant_scores,results/external_protocol_probes/geomlama/strict_country/maple_1b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/strict_country/maple_1b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/strict_country/maple_1b/seed_41/geomlama
geomlama,code_strict,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.4125,0.5,,0,0,80,80,0,0,0.65,0.325,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows,results/external_protocol_probes/geomlama/code_strict/maple_3b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/code_strict/maple_3b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/code_strict/maple_3b/seed_41/geomlama
geomlama,country_first,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.375,0.3625,,0,0,80,80,0,0.0125,0.35,0.4375,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows,results/external_protocol_probes/geomlama/country_first/maple_3b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/country_first/maple_3b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/country_first/maple_3b/seed_41/geomlama
geomlama,disambiguate_cal,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3375,0.3375,,0,0,80,80,0,0,0.3375,0.3625,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows,results/external_protocol_probes/geomlama/disambiguate_cal/maple_3b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/disambiguate_cal/maple_3b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/disambiguate_cal/maple_3b/seed_41/geomlama
geomlama,legacy_pair,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3875,0.4125,,0,0,80,80,0,0,0.35,0.45,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,below_min_rows,results/external_protocol_probes/geomlama/legacy_pair/maple_3b/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl,results/external_protocol_probes/geomlama/legacy_pair/maple_3b/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl,results/external_protocol_probes/geomlama/legacy_pair/maple_3b/seed_41/geomlama
