series,split,mode,corruption_rate,accuracy,correct,total,path
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.0,0.3869827533670547,6350,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.25,0.38552014138582485,6326,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p25.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.5,0.38448412456578707,6309,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p5.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.75,0.38314339691632643,6287,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p75.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,1.0,0.3827168017551344,6280,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c1p0.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.0,0.3067043411250963,5970,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.25,0.30660159260210634,5968,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p25.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.5,0.3053686103262266,5944,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p5.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.75,0.3057282301566915,5951,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p75.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,1.0,0.3058823529411765,5954,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c1p0.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.0,0.3434242069465351,12320,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.25,0.3426994480682388,12294,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p25.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.5,0.3415565590678486,12253,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p5.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.75,0.3411384289457546,12238,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p75.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,1.0,0.34102692757986286,12234,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c1p0.jsonl
"MAPLE 1B (T-, I-)",ambiguous,none,0.0,0.34663903955146563,5688,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_adv_c0.jsonl
"MAPLE 1B (T-, I-)",explicit,none,0.0,0.3006421782686874,5852,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_adv_c0.jsonl
"MAPLE 1B (T-, I-)",overall,none,0.0,0.3216814405976473,11540,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/1b/localnewsqa_eval_target_without_metadata_custom_1b_tminus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.0,0.3768663538302151,6184,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.25,0.37631787433725394,6175,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p25.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.5,0.37284417088183314,6118,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p5.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,0.75,0.3700408312511427,6072,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p75.jsonl
"MAPLE 3B (T+, I+)",ambiguous,full_mismatch,1.0,0.36638430129806815,6012,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c1p0.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.0,0.33706652966863604,6561,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.25,0.337272026714616,6565,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p25.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.5,0.33526843051631133,6526,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p5.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,0.75,0.33506293347033134,6522,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p75.jsonl
"MAPLE 3B (T+, I+)",explicit,full_mismatch,1.0,0.3342409452864115,6506,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c1p0.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.0,0.3552712270725316,12745,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.25,0.355131850365167,12740,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p25.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.5,0.3524558175837654,12644,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p5.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,0.75,0.35106205051011874,12594,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c0p75.jsonl
"MAPLE 3B (T+, I+)",overall,full_mismatch,1.0,0.34894352455817584,12518,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_with_metadata_custom_3b_tplus_adv_c1p0.jsonl
"MAPLE 3B (T-, I-)",ambiguous,none,0.0,0.3022122006216101,4959,16409,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_adv_c0.jsonl
"MAPLE 3B (T-, I-)",explicit,none,0.0,0.3183149242229643,6196,19465,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_adv_c0.jsonl
"MAPLE 3B (T-, I-)",overall,none,0.0,0.3109494341305681,11155,35874,/path/to/metacul/results/downstream_localnewsqa_pretrained_adversarial_figure9_aligned/3b/localnewsqa_eval_target_without_metadata_custom_3b_tminus_adv_c0.jsonl
