variant,prompt_kind,case_id,locale_a,locale_b,symmetric_kl
url_final,url,football_role,us,gb,0.34096264839172363
url_final,url,football_role,us,in,0.046554017812013626
url_final,url,football_role,us,ng,0.16757845878601074
url_final,url,football_role,gb,in,0.13356271386146545
url_final,url,football_role,gb,ng,0.035013385117053986
url_final,url,football_role,in,ng,0.038121581077575684
url_final,url,fuel_word,us,gb,0.03489319980144501
url_final,url,fuel_word,us,in,0.010683925822377205
url_final,url,fuel_word,us,ng,0.03735319525003433
url_final,url,fuel_word,gb,in,0.01151161827147007
url_final,url,fuel_word,gb,ng,0.02512458711862564
url_final,url,fuel_word,in,ng,0.01467658020555973
url_final,url,biscuit_word,us,gb,0.02221650630235672
url_final,url,biscuit_word,us,in,0.016314886510372162
url_final,url,biscuit_word,us,ng,0.023543156683444977
url_final,url,biscuit_word,gb,in,0.011928720399737358
url_final,url,biscuit_word,gb,ng,0.018170293420553207
url_final,url,biscuit_word,in,ng,0.004705660045146942
url_final,url,chips_word,us,gb,0.08551651984453201
url_final,url,chips_word,us,in,0.06625290215015411
url_final,url,chips_word,us,ng,0.1764574944972992
url_final,url,chips_word,gb,in,0.01944844052195549
url_final,url,chips_word,gb,ng,0.08877772092819214
url_final,url,chips_word,in,ng,0.05386638641357422
url_final,url,cricket_baseball,us,gb,0.05400007963180542
url_final,url,cricket_baseball,us,in,0.03724367171525955
url_final,url,cricket_baseball,us,ng,0.035719241946935654
url_final,url,cricket_baseball,gb,in,0.04606493562459946
url_final,url,cricket_baseball,gb,ng,0.006753521040081978
url_final,url,cricket_baseball,in,ng,0.03165378049015999
url_final,url,head_of_government,us,gb,0.033759523183107376
url_final,url,head_of_government,us,in,0.026202235370874405
url_final,url,head_of_government,us,ng,0.052030228078365326
url_final,url,head_of_government,gb,in,0.0067116878926754
url_final,url,head_of_government,gb,ng,0.014517130330204964
url_final,url,head_of_government,in,ng,0.015921199694275856
