variant,prompt_kind,case_id,locale_a,locale_b,symmetric_kl
none_final,none,football_role,us,gb,0.0
none_final,none,football_role,us,in,0.0
none_final,none,football_role,us,ng,0.0
none_final,none,football_role,gb,in,0.0
none_final,none,football_role,gb,ng,0.0
none_final,none,football_role,in,ng,0.0
none_final,none,fuel_word,us,gb,0.0
none_final,none,fuel_word,us,in,0.0
none_final,none,fuel_word,us,ng,0.0
none_final,none,fuel_word,gb,in,0.0
none_final,none,fuel_word,gb,ng,0.0
none_final,none,fuel_word,in,ng,0.0
none_final,none,biscuit_word,us,gb,0.0
none_final,none,biscuit_word,us,in,0.0
none_final,none,biscuit_word,us,ng,0.0
none_final,none,biscuit_word,gb,in,0.0
none_final,none,biscuit_word,gb,ng,0.0
none_final,none,biscuit_word,in,ng,0.0
none_final,none,chips_word,us,gb,0.0
none_final,none,chips_word,us,in,0.0
none_final,none,chips_word,us,ng,0.0
none_final,none,chips_word,gb,in,0.0
none_final,none,chips_word,gb,ng,0.0
none_final,none,chips_word,in,ng,0.0
none_final,none,cricket_baseball,us,gb,0.0
none_final,none,cricket_baseball,us,in,0.0
none_final,none,cricket_baseball,us,ng,0.0
none_final,none,cricket_baseball,gb,in,0.0
none_final,none,cricket_baseball,gb,ng,0.0
none_final,none,cricket_baseball,in,ng,0.0
none_final,none,head_of_government,us,gb,0.0
none_final,none,head_of_government,us,in,0.0
none_final,none,head_of_government,us,ng,0.0
none_final,none,head_of_government,gb,in,0.0
none_final,none,head_of_government,gb,ng,0.0
none_final,none,head_of_government,in,ng,0.0
