family,seed,variant,variant_label,pair_count,exact_pair,margin_switch
MAPLE Chat 1B,41,tplus_eplus,"(T+, I+)",1700,0.02,0.06529411764705882
MAPLE Chat 1B,41,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 1B,42,tplus_eplus,"(T+, I+)",1700,0.02235294117647059,0.06352941176470588
MAPLE Chat 1B,42,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 1B,43,tplus_eplus,"(T+, I+)",1700,0.02411764705882353,0.07411764705882352
MAPLE Chat 1B,43,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 1B,44,tplus_eplus,"(T+, I+)",1700,0.02235294117647059,0.06294117647058824
MAPLE Chat 1B,44,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 1B,45,tplus_eplus,"(T+, I+)",1700,0.02,0.060588235294117644
MAPLE Chat 1B,45,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 3B,41,tplus_eplus,"(T+, I+)",1700,0.051176470588235295,0.13647058823529412
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 3B,42,tplus_eplus,"(T+, I+)",1700,0.0488235294117647,0.13705882352941176
MAPLE Chat 3B,42,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 3B,43,tplus_eplus,"(T+, I+)",1700,0.05588235294117647,0.14529411764705882
MAPLE Chat 3B,43,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 3B,44,tplus_eplus,"(T+, I+)",1700,0.057058823529411766,0.1411764705882353
MAPLE Chat 3B,44,tminus_eminus,"(T-, I-)",1700,0.0,0.0
MAPLE Chat 3B,45,tplus_eplus,"(T+, I+)",1700,0.05529411764705883,0.14411764705882352
MAPLE Chat 3B,45,tminus_eminus,"(T-, I-)",1700,0.0,0.0
