benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
globalmmlu_cs,code_strict,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2833333333,0.3,-0.01666666667,0,1,120,120,0,0,0.425,0.5833333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/code_strict/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/code_strict/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/code_strict/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,country_first,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2583333333,0.3083333333,-0.05,0,1,120,120,0,0,0.45,0.6083333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/country_first/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/country_first/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/country_first/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,disambiguate_cal,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2666666667,0.3083333333,-0.04166666667,0,1,120,120,0,0,0.4666666667,0.4416666667,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/disambiguate_cal/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/disambiguate_cal/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/disambiguate_cal/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_1b,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2666666667,0.3083333333,-0.04166666667,0,1,120,120,0,0,0.6,0.5166666667,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/figure9_1b/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/figure9_1b/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/figure9_1b/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_3b,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.275,0.2833333333,-0.008333333333,0,1,120,120,0,0,0.3666666667,0.5,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/figure9_3b/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/figure9_3b/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/figure9_3b/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,legacy_a025,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1833333333,0.325,-0.1416666667,0,1,120,120,0,0,0.5916666667,0.6,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/legacy_a025/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/legacy_a025/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/legacy_a025/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,legacy_pair,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2333333333,0.3333333333,-0.1,0,1,120,120,0,0,0.5916666667,0.5583333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/legacy_pair/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/legacy_pair/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/legacy_pair/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,letter_country_first,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2583333333,0.2833333333,-0.025,0,1,120,120,0,0,1,0.95,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/letter_country_first/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/letter_country_first/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/letter_country_first/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,letter_legacy,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2583333333,0.2583333333,0,0,1,120,120,0,0,1,1,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/letter_legacy/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/letter_legacy/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/letter_legacy/maple_1b_chat/seed_41/globalmmlu_cs
globalmmlu_cs,plain_grounded,maple_1b_chat,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.225,0.275,-0.05,0,1,120,120,0,0,0.5833333333,0.6333333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/plain_grounded/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/plain_grounded/maple_1b_chat/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_seed41_120/globalmmlu_cs/plain_grounded/maple_1b_chat/seed_41/globalmmlu_cs
