family,series,split,accuracy,ci_low,ci_high,seed,total,source
1B,1B T+/I+,Overall,0.24229946524064172,0.23630882352941177,0.24780882352941175,41,18700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tplus_eplus_seed41_c0.jsonl
1B,1B T+/I+,Explicit,0.24394117647058824,0.23723235294117648,0.25076617647058824,41,17000,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tplus_eplus_seed41_c0.jsonl
1B,1B T+/I+,Ambiguous,0.22588235294117648,0.20527941176470588,0.24705882352941178,41,1700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tplus_eplus_seed41_c0.jsonl
1B,1B T+/I-,Overall,0.24229946524064172,0.23572058823529413,0.24845053475935827,41,18700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tplus_eminus_seed41_c0.jsonl
1B,1B T+/I-,Explicit,0.24394117647058824,0.23746911764705883,0.25023676470588235,41,17000,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tplus_eminus_seed41_c0.jsonl
1B,1B T+/I-,Ambiguous,0.22588235294117648,0.20529411764705882,0.24529411764705883,41,1700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tplus_eminus_seed41_c0.jsonl
1B,1B T-/I+,Overall,0.24229946524064172,0.23652139037433154,0.24855748663101604,41,18700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tminus_eplus_seed41_c0.jsonl
1B,1B T-/I+,Explicit,0.24394117647058824,0.23805882352941177,0.25029558823529413,41,17000,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tminus_eplus_seed41_c0.jsonl
1B,1B T-/I+,Ambiguous,0.22588235294117648,0.20470588235294118,0.24705882352941178,41,1700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_1b_tminus_eplus_seed41_c0.jsonl
1B,1B T-/I-,Overall,0.24229946524064172,0.23620187165775403,0.24850401069518716,41,18700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tminus_eminus_seed41_c0.jsonl
1B,1B T-/I-,Explicit,0.24394117647058824,0.237175,0.2501779411764706,41,17000,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tminus_eminus_seed41_c0.jsonl
1B,1B T-/I-,Ambiguous,0.22588235294117648,0.20647058823529413,0.2464705882352941,41,1700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/1b_codeg_labels_question_final/seed_41/localnewsqa_eval_target_without_metadata_custom_frozenfig9_1b_tminus_eminus_seed41_c0.jsonl
3B,3B T+/I+,Overall,0.3442780748663102,0.3377540106951872,0.35096657754010696,41,18700,/path/to/metacul/results/localnewsqa_gold_20260516/pretrained_target/3b_name_grounded_final_answer_colon_qanswer_nolabel_qmask_bos/seed_41/localnewsqa_eval_target_with_metadata_custom_frozenfig9_3b_tplus_eplus_seed41_c0.jsonl
