series,split,mode,corruption_rate,accuracy,correct,total,path
"MAPLE 1B (T+, I+)",ambiguous,url_country_mask,0.0,0.13352941176470587,227,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0.jsonl
"MAPLE 1B (T+, I+)",ambiguous,url_country_mask,0.25,0.13411764705882354,228,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p25.jsonl
"MAPLE 1B (T+, I+)",ambiguous,url_country_mask,0.5,0.13294117647058823,226,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p5.jsonl
"MAPLE 1B (T+, I+)",ambiguous,url_country_mask,0.75,0.1323529411764706,225,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p75.jsonl
"MAPLE 1B (T+, I+)",ambiguous,url_country_mask,1.0,0.1323529411764706,225,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c1p0.jsonl
"MAPLE 1B (T+, I+)",explicit,url_country_mask,0.0,0.3363529411764706,5718,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0.jsonl
"MAPLE 1B (T+, I+)",explicit,url_country_mask,0.25,0.33588235294117647,5710,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p25.jsonl
"MAPLE 1B (T+, I+)",explicit,url_country_mask,0.5,0.33588235294117647,5710,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p5.jsonl
"MAPLE 1B (T+, I+)",explicit,url_country_mask,0.75,0.3355294117647059,5704,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0p75.jsonl
"MAPLE 1B (T+, I+)",explicit,url_country_mask,1.0,0.3352941176470588,5700,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c1p0.jsonl
"MAPLE 1B (T+, I+)",overall,url_country_mask,0.0,0.3179144385026738,5945,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_urlmask/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_urlmask_c0.jsonl
