model_slug,model_label,meta_tag,meta_label,split,accuracy,accuracy_std,seed_count,total
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Overall,0.37991302893460444,0.0,1,35874
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Explicit,0.34477266889288466,0.0,1,19465
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Ambiguous,0.42159790358949356,0.0,1,16409
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Overall,0.36065116797680774,0.0,1,35874
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Explicit,0.33871050603647573,0.0,1,19465
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Ambiguous,0.38667804253763177,0.0,1,16409
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Overall,0.4353849584657412,0.0,1,35874
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Explicit,0.3974312869252504,0.0,1,19465
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Ambiguous,0.48040709366810896,0.0,1,16409
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Overall,0.3901711545966438,0.0,1,35874
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Explicit,0.3749807346519394,0.0,1,19465
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Ambiguous,0.40819062709488696,0.0,1,16409
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Overall,0.36893014439426886,0.0,1,35874
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Explicit,0.3261238119702029,0.0,1,19465
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Ambiguous,0.4197086964470717,0.0,1,16409
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Overall,0.37628923454312313,0.0,1,35874
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Explicit,0.35381453891600306,0.0,1,19465
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Ambiguous,0.4029496008288135,0.0,1,16409
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Overall,0.4101577744327368,0.0,1,35874
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Explicit,0.38083740046236836,0.0,1,19465
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Ambiguous,0.444938753123286,0.0,1,16409
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Overall,0.45651446730222445,0.0,1,35874
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Explicit,0.4661186745440534,0.0,1,19465
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Ambiguous,0.44512157962093973,0.0,1,16409
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Overall,0.5849640408094999,0.0,1,35874
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Explicit,0.5785255586950938,0.0,1,19465
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Ambiguous,0.5926016210616125,0.0,1,16409
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Overall,0.4791492445782461,0.0,1,35874
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Explicit,0.5126123811970202,0.0,1,19465
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Ambiguous,0.4394539581936742,0.0,1,16409
