model_slug,model_label,meta_tag,meta_label,split,accuracy,accuracy_std,seed_count,total
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Overall,0.3460641711229947,0.001146681687624587,5,18700
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Explicit,0.35760000000000003,0.001337119767768167,5,17000
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Ambiguous,0.23070588235294115,0.004330626428071987,5,1700
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Overall,0.3373475935828877,0.000922827951063562,5,18700
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Explicit,0.3515764705882353,0.0012418593047813444,5,17000
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Ambiguous,0.19505882352941178,0.003343122879619494,5,1700
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Overall,0.40534759358288774,0.0008030298084321406,5,18700
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Explicit,0.41561176470588235,0.0009315686068154846,5,17000
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Ambiguous,0.30270588235294116,0.0036640968240935125,5,1700
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Overall,0.37675935828877005,0.0017375976569813092,5,18700
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Explicit,0.3916941176470588,0.001863137213630974,5,17000
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Ambiguous,0.22741176470588237,0.004192595219107166,5,1700
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Overall,0.3534545454545454,0.0008124119364634315,5,18700
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Explicit,0.3666,0.0008866561732431504,5,17000
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Ambiguous,0.22199999999999998,0.0019773807428201937,5,1700
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Overall,0.3733475935828877,0.001351048114414789,5,18700
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Explicit,0.38943529411764705,0.0013805369799252622,5,17000
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Ambiguous,0.21247058823529413,0.005814312373247796,5,1700
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Overall,0.392524064171123,0.002020229981282164,5,18700
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Explicit,0.40532941176470594,0.0020998434609640847,5,17000
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Ambiguous,0.2644705882352941,0.0014166581857402748,5,1700
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Overall,0.4726417112299465,0.0012476063042735012,5,18700
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Explicit,0.49062352941176474,0.0011987594510381506,5,17000
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Ambiguous,0.2928235294117647,0.00412604186276474,5,1700
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Overall,0.5743957219251337,0.0011136612396191808,5,18700
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Explicit,0.5885176470588236,0.0009731694731800072,5,17000
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Ambiguous,0.43317647058823533,0.008135955483303588,5,1700
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Overall,0.49916577540106954,0.0018833097956931681,5,18700
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Explicit,0.5215058823529412,0.0018548542878257716,5,17000
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Ambiguous,0.2757647058823529,0.005032764620284105,5,1700
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,Overall,0.3764385026737968,0.0011435601004982827,5,18700
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,Explicit,0.39292941176470586,0.0011891958842895013,5,17000
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,Ambiguous,0.21152941176470588,0.0018414677461762912,5,1700
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,Overall,0.3836256684491979,0.0007158588462323736,5,18700
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,Explicit,0.4023411764705882,0.0007907335300661908,5,17000
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,Ambiguous,0.19647058823529412,0.003697001497051927,5,1700
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,Overall,0.4455828877005348,0.0005513470125682177,5,18700
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,Explicit,0.4588588235294117,0.0007505476662464381,5,17000
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,Ambiguous,0.3128235294117647,0.003363759636587262,5,1700
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,Overall,0.4648983957219251,0.0010699197109239147,5,18700
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,Explicit,0.4886588235294118,0.0013169115594311254,5,17000
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,Ambiguous,0.2272941176470588,0.002777816224262962,5,1700
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,Overall,0.4293689839572193,0.001599100379076529,5,18700
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,Explicit,0.44318823529411755,0.001714683180154423,5,17000
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,Ambiguous,0.29117647058823526,0.00428241758192971,5,1700
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,Overall,0.42158288770053476,0.0010469544883643846,5,18700
