benchmark,family,series,variant,root_label,model_group,seed_tag,accuracy,correct,processed_total,status,skipped,total_rows,error,path
blend,Gemma-4-E2B-it,I+,llama3_chat_with_metadata,hf_seed41,gemma4_e2b_it,seed_41,0.0,0,0,failed_model_load,393,393,AttributeError: 'list' object has no attribute 'keys',/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/gemma4_e2b_it/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,Gemma-4-E2B-it,I+,llama3_chat_with_metadata,hf_seed41_fixed,gemma4_e2b_it,seed_41,0.648854961832061,255,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41_fixed/gemma4_e2b_it/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,Gemma-4-E2B-it,I-,llama3_chat_without_metadata,hf_seed41,gemma4_e2b_it,seed_41,0.0,0,0,failed_model_load,393,393,AttributeError: 'list' object has no attribute 'keys',/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/gemma4_e2b_it/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,Gemma-4-E2B-it,I-,llama3_chat_without_metadata,hf_seed41_fixed,gemma4_e2b_it,seed_41,0.5419847328244275,213,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41_fixed/gemma4_e2b_it/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,Gemma-4-E4B-it,I+,llama3_chat_with_metadata,hf_seed41,gemma4_e4b_it,seed_41,0.0,0,0,failed_model_load,393,393,AttributeError: 'list' object has no attribute 'keys',/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/gemma4_e4b_it/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,Gemma-4-E4B-it,I+,llama3_chat_with_metadata,hf_seed41_fixed,gemma4_e4b_it,seed_41,0.7938931297709924,312,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41_fixed/gemma4_e4b_it/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,Gemma-4-E4B-it,I-,llama3_chat_without_metadata,hf_seed41,gemma4_e4b_it,seed_41,0.0,0,0,failed_model_load,393,393,AttributeError: 'list' object has no attribute 'keys',/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/gemma4_e4b_it/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,Gemma-4-E4B-it,I-,llama3_chat_without_metadata,hf_seed41_fixed,gemma4_e4b_it,seed_41,0.727735368956743,286,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41_fixed/gemma4_e4b_it/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,LLaMA-3.2-1B,I+,llama3_chat_with_metadata,hf_seed41,llama32_1b,seed_41,0.2824427480916031,111,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/llama32_1b/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,LLaMA-3.2-1B,I-,llama3_chat_without_metadata,hf_seed41,llama32_1b,seed_41,0.37659033078880405,148,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/llama32_1b/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,LLaMA-3.2-3B,I+,llama3_chat_with_metadata,hf_seed41,llama32_3b,seed_41,0.0,0,0,failed_model_load,393,393,"OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct.
401 Client Error. (Request ID: Root=1-69f277ed-3529c21457ef1f34091ed990;85993aa4-21bf-4ffb-b9b1-56e9a551b577)

Cannot access gated repo for url https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/config.json.
Access to model meta-llama/Llama-3.2-3B-Instruct is restricted. You must have access to it and be authenticated to access it. Please log in.",/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/llama32_3b/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,LLaMA-3.2-3B,I+,llama3_chat_with_metadata,hf_seed41_fixed,llama32_3b,seed_41,0.6513994910941476,256,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41_fixed/llama32_3b/seed_41/blend/llama3_chat_with_metadata/blend_eval_summary.csv
blend,LLaMA-3.2-3B,I-,llama3_chat_without_metadata,hf_seed41,llama32_3b,seed_41,0.0,0,0,failed_model_load,393,393,"OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct.
401 Client Error. (Request ID: Root=1-69f277ed-062b23c763974099274e588f;e9010292-c4e7-4018-8478-db47d1c100e5)

Cannot access gated repo for url https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct/resolve/main/config.json.
Access to model meta-llama/Llama-3.2-3B-Instruct is restricted. You must have access to it and be authenticated to access it. Please log in.",/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41/llama32_3b/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,LLaMA-3.2-3B,I-,llama3_chat_without_metadata,hf_seed41_fixed,llama32_3b,seed_41,0.6972010178117048,274,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_hf_seed41_fixed/llama32_3b/seed_41/blend/llama3_chat_without_metadata/blend_eval_summary.csv
blend,MAPLE 1B,T+/I+,custom_tplus_eplus,maple_seed41,raw_1b,seed_41,0.16030534351145037,63,393,ok,0,393,,/path/to/metacul/results/external_benchmarks_croq_related_seed41/raw_1b/seed_41/blend/custom_tplus_eplus/blend_eval_summary.csv
blend,MAPLE 1B,T+/I+,custom_tplus_eplus,maple_search_code_grounded_question_final_a125,raw_1b,seed_41,0.0,0,0,failed_model_load,393,393,"ValueError: Couldn't instantiate the backend tokenizer from one of: 
(1) a `tokenizers` library serialization file, 
(2) a slow tokenizer instance to convert or 
(3) an equivalent slow tokenizer class to instantiate and convert. 
You need to have sentencepiece or tiktoken installed to convert a slow tokenizer to a fast one.",/path/to/metacul/results/external_benchmarks_croq_related_maple_protocol_search_seed41/raw_1b/code_grounded_question_final_a125/seed_41/blend/custom_tplus_eplus/blend_eval_summary.csv
