family,seed,variant,variant_label,item_id,country,contrast_country,topic,year,target_correct,contrast_correct,exact_pair_success,margin_switch_success,target_margin,contrast_margin
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a 2024 budget package was presented to parliament by the official holding which office?', 'tanzania', 'tanzania', 'united kingdom', 'politics and government', '2024')",Tanzania,United Kingdom,Politics and government,2024,0.0,1.0,0.0,0.0,-1.9021342959669836,1.9021342959669836
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a banking story said depositors were reassured by the agency that insures retail bank deposits. which body is that?', 'united states', 'united states', 'united kingdom', 'economy and business', '2011')",United States,United Kingdom,Economy and business,2011,0.0,0.0,0.0,0.0,-1.2705824974445776,1.2705824974445776
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a big accounting firm commenting on listed-company governance reforms would most likely refer to guidance from which reporting watchdog?', 'united kingdom', 'united kingdom', 'united states', 'economy and business', '2014')",United Kingdom,United States,Economy and business,2014,0.0,1.0,0.0,0.0,-1.6028015606659156,1.6028015606659156
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a bill on data protection or digital regulation is sent for assent after passage. whose assent is required?', 'jamaica', 'jamaica', 'united states', 'politics and government', '2020')",Jamaica,United States,Politics and government,2020,0.0,0.0,0.0,0.0,7.317559132154034,-7.317559132154034
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a bill to lower the voting age to 18 was widely covered after clearing the upper chamber. what is that chamber called?', 'malaysia', 'malaysia', 'united kingdom', 'politics and government', '2019')",Malaysia,United Kingdom,Politics and government,2019,0.0,0.0,0.0,0.0,0.1463002323340441,-0.1463002323340441
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a bill was described as moving to the legislature for debate in which body?', 'hong kong', 'hong kong', 'united kingdom', 'public life and holidays', '2019')",Hong Kong,United Kingdom,Public life and holidays,2019,0.0,1.0,0.0,0.0,-1.936054145490076,1.936054145490076
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', ""a book review says the title was chosen for the country's best-known annual battle-of-the-books on a public broadcaster. which broadcaster is that?"", 'canada', 'canada', 'united states', 'media and culture', '2016')",Canada,United States,Media and culture,2016,0.0,0.0,0.0,0.0,3.467061302095262,-3.467061302095262
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a budget affecting corporate taxes and state-owned enterprises would be tabled by which officeholder?', 'south africa', 'south africa', 'united kingdom', 'economy and business', '2016')",South Africa,United Kingdom,Economy and business,2016,0.0,1.0,0.0,0.0,-1.6722414305386935,1.6722414305386935
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a budget hearing article said lawmakers were waiting for the spending plan from the executive branch. what is that plan commonly called?', 'philippines', 'philippines', 'united states', 'public life and holidays', '2019')",Philippines,United States,Public life and holidays,2019,0.0,0.0,0.0,0.0,3.0193312487003285,-3.0193312487003285
MAPLE 1B,41,tminus_eminus,"(T-, I-)","('', 'a bus franchising story referred to the best-known listed operator group in the city. which company was it?', 'hong kong', 'hong kong', 'united kingdom', 'economy and business', '2014')",Hong Kong,United Kingdom,Economy and business,2014,0.0,0.0,0.0,0.0,-0.9497946070644905,0.9497946070644905
