benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
worldvaluebench,figure9_1b,maple_1b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1611111111,0.1666666667,0.005555555556,1,1,120,120,0,0,0.2583333333,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_1b/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_1b/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_1b/maple_1b_chat/seed_41/worldvaluebench
worldvaluebench,figure9_3b,maple_1b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1555555556,0.1777777778,0.02222222222,1,1,120,120,0,0,0.3083333333,0.225,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_3b/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_3b/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_3b/maple_1b_chat/seed_41/worldvaluebench
worldvaluebench,legacy_a025,maple_1b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1666666667,0.1666666667,0,0,1,120,120,0,0,0.2333333333,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_a025/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_a025/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_a025/maple_1b_chat/seed_41/worldvaluebench
worldvaluebench,legacy_pair,maple_1b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1666666667,0.1666666667,0,0,1,120,120,0,0,0.2333333333,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_pair/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_pair/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_pair/maple_1b_chat/seed_41/worldvaluebench
worldvaluebench,sft_1b_lnqa,maple_1b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1666666667,0.1694444444,0.002777777778,1,1,120,120,0,0,0.2333333333,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/sft_1b_lnqa/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/sft_1b_lnqa/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/sft_1b_lnqa/maple_1b_chat/seed_41/worldvaluebench
worldvaluebench,sft_3b_lnqa,maple_1b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.1555555556,0.1777777778,0.02222222222,1,1,120,120,0,0,0.3083333333,0.225,/path/to/metacul/models/sft/combined_with_metadata_chat,/path/to/metacul/models/sft/combined_without_metadata_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/sft_3b_lnqa/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/sft_3b_lnqa/maple_1b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/sft_3b_lnqa/maple_1b_chat/seed_41/worldvaluebench
worldvaluebench,country_first,maple_3b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.175,0.1666666667,-0.008333333333,0,1,120,120,0,0,0.2333333333,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/country_first/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/country_first/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/country_first/maple_3b_chat/seed_41/worldvaluebench
worldvaluebench,figure9_1b,maple_3b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3722222222,0.1666666667,-0.2055555556,0,1,120,120,0,0,0.475,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_1b/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_1b/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_1b/maple_3b_chat/seed_41/worldvaluebench
worldvaluebench,figure9_3b,maple_3b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.7527777778,0.1666666667,-0.5861111111,0,1,120,120,0,0,0.225,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_3b/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_3b/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/figure9_3b/maple_3b_chat/seed_41/worldvaluebench
worldvaluebench,legacy_a025,maple_3b_chat,seed_41,T+I+ vs T-I-,overall_emd,lower_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2666666667,0.1666666667,-0.1,0,1,120,120,0,0,0.2333333333,0.2333333333,/path/to/metacul/models/sft/combined_with_metadata_3b_best3b_chat,/path/to/metacul/models/sft/combined_without_metadata_3b_best3b_chat,TokenizersBackend,TokenizersBackend,128000,128000,,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_a025/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tplus_eplus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_a025/maple_3b_chat/seed_41/worldvaluebench/worldvaluebench_custom_tminus_eminus.jsonl,results/external_protocol_probes_maple_chat_remaining_seed41_120/worldvaluebench/legacy_a025/maple_3b_chat/seed_41/worldvaluebench
