question_key,continent,country,n,emd,correct_answers,predicted_answers
Q1,Africa,Kenya,5,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
Q1,Africa,Nigeria,3,0.3333333333333333,"[0.0, 0.0, 0.0]","[0.0, 1.0, 0.0]"
Q1,America,Canada,12,0.47222222222222227,"[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
Q1,America,United States,1,1.0,[0.0],[1.0]
Q1,Asia,Bangladesh,2,0.0,"[0.0, 0.0]","[0.0, 0.0]"
Q1,Asia,Hong Kong,1,1.0,[0.0],[1.0]
Q1,Asia,Malaysia,1,1.0,[0.0],[1.0]
Q1,Asia,Pakistan,1,1.0,[0.0],[1.0]
Q1,Asia,Philippines,1,0.0,[0.0],[0.0]
Q1,Europe,United Kingdom,6,0.6666666666666666,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
Q2,Africa,Kenya,6,0.6666666666666669,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
Q2,Africa,Nigeria,2,0.33333333333333337,"[0.3333333333333333, 0.0]","[1.0, 0.0]"
Q2,America,Canada,9,0.1851851851851852,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[0.0, 0.0, 0.0, 0.6666666666666666, 1.0, 0.0, 0.0, 0.0, 0.0]"
Q2,America,United States,4,0.33333333333333337,"[0.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666]","[1.0, 0.0, 0.0, 1.0]"
Q2,Asia,Bangladesh,1,0.0,[0.0],[0.0]
Q2,Asia,Malaysia,1,0.6666666666666667,[0.3333333333333333],[1.0]
Q2,Asia,Pakistan,4,0.16666666666666669,"[0.0, 0.0, 0.0, 0.3333333333333333]","[1.0, 0.0, 0.0, 0.0]"
Q2,Asia,Philippines,4,0.41666666666666674,"[0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333]","[0.0, 1.0, 0.0, 1.0]"
Q2,Europe,United Kingdom,9,0.1111111111111111,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
Q3,Africa,Kenya,4,0.33333333333333337,"[0.0, 0.0, 0.3333333333333333, 0.3333333333333333]","[1.0, 0.0, 1.0, 0.0]"
Q3,Africa,Nigeria,2,0.8333333333333334,"[0.0, 0.3333333333333333]","[1.0, 1.0]"
Q3,America,Canada,11,0.33333333333333337,"[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
Q3,America,United States,8,0.4166666666666667,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
Q3,Asia,Bangladesh,2,0.16666666666666666,"[0.0, 0.3333333333333333]","[0.0, 0.0]"
Q3,Asia,Hong Kong,2,0.33333333333333337,"[0.0, 0.3333333333333333]","[0.0, 1.0]"
Q3,Asia,Pakistan,2,0.5,"[1.0, 0.0]","[0.0, 0.0]"
Q3,Asia,Philippines,2,0.5,"[0.3333333333333333, 0.3333333333333333]","[1.0, 0.0]"
Q3,Europe,United Kingdom,7,0.33333333333333337,"[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
Q46,Asia,Bangladesh,1,0.3333333333333333,[0.3333333333333333],[0.0]
Q46,Asia,Hong Kong,2,0.3333333333333333,"[0.3333333333333333, 0.3333333333333333]","[0.0, 0.0]"
Q46,Asia,Malaysia,2,0.6666666666666667,"[0.3333333333333333, 0.3333333333333333]","[1.0, 1.0]"
Q46,Asia,Pakistan,1,0.6666666666666667,[0.3333333333333333],[1.0]
Q46,Europe,United Kingdom,1,0.0,[0.0],[0.0]
