config,seed,benchmark,variant,metric,rows,value,path
name_grounded_qanswer_countryfinal_qmask05_nobos,seed_41,geomlama,custom_tminus_eminus,accuracy,150,40.0,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_grounded_qanswer_countryfinal_qmask05_nobos/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
name_grounded_qanswer_countryfinal_qmask05_nobos,seed_41,geomlama,custom_tplus_eplus,accuracy,150,38.666666666666664,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_grounded_qanswer_countryfinal_qmask05_nobos/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
name_grounded_qanswer_countryfinal_qmask05_nobos,seed_41,globalopinionqa,custom_tplus_eplus,accuracy,344,22.96511627906977,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_grounded_qanswer_countryfinal_qmask05_nobos/seed_41/globalopinionqa/custom_tplus_eplus/globalopinionqa_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,geomlama,custom_tminus_eminus,accuracy,150,40.0,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,geomlama,custom_tplus_eplus,accuracy,150,39.33333333333333,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,globalopinionqa,custom_tminus_eminus,accuracy,9684,22.44940107393639,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/globalopinionqa/custom_tminus_eminus/globalopinionqa_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,globalopinionqa,custom_tplus_eplus,accuracy,9578,24.034245145124242,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/globalopinionqa/custom_tplus_eplus/globalopinionqa_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,mmlu,custom_tminus_eminus,accuracy,9042,27.383322273833222,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/mmlu/custom_tminus_eminus/mmlu_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,mmlu,custom_tplus_eplus,accuracy,8952,25.692582663092047,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/mmlu/custom_tplus_eplus/mmlu_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,worldvaluebench,custom_tminus_eminus,accuracy,1405,24.555160142348754,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/worldvaluebench/custom_tminus_eminus/worldvaluebench_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_nobos,seed_41,worldvaluebench,custom_tplus_eplus,accuracy,1405,21.85053380782918,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_round2/name_plain_qanswer_countryfinal_qmask05_nobos/seed_41/worldvaluebench/custom_tplus_eplus/worldvaluebench_custom_tplus_eplus.jsonl
