group,check,status,detail
pretrained_accuracy,1B Overall T+I+ > T-I-,pass,"T+I+=31.80, T-I-=30.27"
pretrained_accuracy,1B Overall T+I+ best,pass,"T-/I-=30.27, T-/I+=30.74, T+/I-=31.29, T+/I+=31.80"
pretrained_accuracy,1B Overall intermediates between endpoints,pass,"T-/I-=30.27, T-/I+=30.74, T+/I-=31.29, T+/I+=31.80"
pretrained_accuracy,1B Explicit T+I+ > T-I-,pass,"T+I+=33.64, T-I-=32.60"
pretrained_accuracy,1B Explicit T+I+ best,pass,"T-/I-=32.60, T-/I+=32.76, T+/I-=33.20, T+/I+=33.64"
pretrained_accuracy,1B Explicit intermediates between endpoints,pass,"T-/I-=32.60, T-/I+=32.76, T+/I-=33.20, T+/I+=33.64"
pretrained_accuracy,1B Ambiguous T+I+ > T-I-,pass,"T+I+=13.41, T-I-=6.96"
pretrained_accuracy,1B Ambiguous T+I+ best,pass,"T-/I-=6.96, T-/I+=10.49, T+/I-=12.26, T+/I+=13.41"
pretrained_accuracy,1B Ambiguous intermediates between endpoints,pass,"T-/I-=6.96, T-/I+=10.49, T+/I-=12.26, T+/I+=13.41"
pretrained_accuracy,3B Overall T+I+ > T-I-,pass,"T+I+=34.55, T-I-=31.77"
pretrained_accuracy,3B Overall T+I+ best,pass,"T-/I-=31.77, T-/I+=32.69, T+/I-=31.20, T+/I+=34.55"
pretrained_accuracy,3B Overall intermediates between endpoints,fail,"T-/I-=31.77, T-/I+=32.69, T+/I-=31.20, T+/I+=34.55"
pretrained_accuracy,3B Explicit T+I+ > T-I-,pass,"T+I+=35.18, T-I-=32.99"
pretrained_accuracy,3B Explicit T+I+ best,pass,"T-/I-=32.99, T-/I+=33.41, T+/I-=31.84, T+/I+=35.18"
pretrained_accuracy,3B Explicit intermediates between endpoints,fail,"T-/I-=32.99, T-/I+=33.41, T+/I-=31.84, T+/I+=35.18"
pretrained_accuracy,3B Ambiguous T+I+ > T-I-,pass,"T+I+=28.15, T-I-=19.55"
pretrained_accuracy,3B Ambiguous T+I+ best,pass,"T-/I-=19.55, T-/I+=25.48, T+/I-=24.87, T+/I+=28.15"
pretrained_accuracy,3B Ambiguous intermediates between endpoints,pass,"T-/I-=19.55, T-/I+=25.48, T+/I-=24.87, T+/I+=28.15"
pretrained_accuracy,Overall 3B > 1B under T+I+,pass,"3B=34.55, 1B=31.80"
pretrained_accuracy,Explicit 3B > 1B under T+I+,pass,"3B=35.18, 1B=33.64"
pretrained_accuracy,Ambiguous 3B > 1B under T+I+,pass,"3B=28.15, 1B=13.41"
sft_accuracy,1B Overall T+I+ > T-I-,pass,"T+I+=34.90, T-I-=34.04"
sft_accuracy,1B Overall T+I+ best,fail,"T-/I-=34.04, T-/I+=37.05, T+/I-=32.30, T+/I+=34.90"
sft_accuracy,1B Overall intermediates between endpoints,fail,"T-/I-=34.04, T-/I+=37.05, T+/I-=32.30, T+/I+=34.90"
sft_accuracy,1B Explicit T+I+ > T-I-,pass,"T+I+=35.59, T-I-=35.42"
sft_accuracy,1B Explicit T+I+ best,fail,"T-/I-=35.42, T-/I+=37.77, T+/I-=33.35, T+/I+=35.59"
