model_slug,model_label,meta_tag,meta_label,split,accuracy,accuracy_std,seed_count,total
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Overall,0.37991860400289906,0.0010484612232507602,5,35874
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Explicit,0.34546108399691755,0.0011052035394420675,5,19465
gemma4_e2b_it,Gemma-4-E2B-it,with_metadata,With metadata,Ambiguous,0.42079346699981723,0.0014430559274060167,5,16409
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Overall,0.35994313430339525,0.0008869003261799535,5,35874
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Explicit,0.3382892370922168,0.0010581102562922497,5,19465
gemma4_e2b_it,Gemma-4-E2B-it,without_metadata,Without metadata,Ambiguous,0.38562983728441713,0.0014391902469352454,5,16409
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Overall,0.43621006857334,0.0007671038715250829,5,35874
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Explicit,0.39926021063447215,0.0011525480947594284,5,19465
gemma4_e4b_it,Gemma-4-E4B-it,with_metadata,With metadata,Ambiguous,0.48004144067280147,0.0008966993094985848,5,16409
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Overall,0.3903774321235435,0.0002900911131348102,5,35874
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Explicit,0.3753403544824043,0.0004873790382997666,5,19465
gemma4_e4b_it,Gemma-4-E4B-it,without_metadata,Without metadata,Ambiguous,0.4082150039612408,0.0010074829399809972,5,16409
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Overall,0.37194068127334556,0.0025640011232093917,5,35874
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Explicit,0.32922681736450043,0.002415573852396053,5,19465
llama32_1b,LLaMA-3.2-1B,with_metadata,With metadata,Ambiguous,0.4226095435431775,0.0027722322653211395,5,16409
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Overall,0.3786753637732062,0.0018486837357692566,5,35874
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Explicit,0.3564654508091446,0.0016450195765348472,5,19465
llama32_1b,LLaMA-3.2-1B,without_metadata,Without metadata,Ambiguous,0.40502163446888895,0.002467969618053097,5,16409
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Overall,0.4103027262083961,0.0008813634618214839,5,35874
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Explicit,0.3811045466221423,0.0009864660897214083,5,19465
llama32_3b,LLaMA-3.2-3B,with_metadata,With metadata,Ambiguous,0.444938753123286,0.0012812356658924162,5,16409
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Overall,0.45654234264369736,0.001095859055937645,5,35874
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Explicit,0.46521448754174155,0.000762522811552219,5,19465
llama32_3b,LLaMA-3.2-3B,without_metadata,Without metadata,Ambiguous,0.44625510390639284,0.002770221992934753,5,16409
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Overall,0.5846964375313598,0.0010279162094761905,5,35874
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Explicit,0.5765322373490882,0.001540970952132757,5,19465
mistral7b_v02,Mistral-7B-Instruct-v0.2,with_metadata,With metadata,Ambiguous,0.5943811323054421,0.0021526477647164353,5,16409
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Overall,0.47849696158777943,0.0006680202141553772,5,35874
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Explicit,0.5111841767274596,0.00159979483291068,5,19465
mistral7b_v02,Mistral-7B-Instruct-v0.2,without_metadata,Without metadata,Ambiguous,0.43972210372356635,0.0015848478634184877,5,16409
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,Overall,0.40257568155209905,0.001120054669279394,5,35874
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,Explicit,0.371394811199589,0.0012294452220322522,5,19465
qwen25_0p5b,Qwen2.5-0.5B,with_metadata,With metadata,Ambiguous,0.43956365409226644,0.0015515736602263323,5,16409
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,Overall,0.3941684785638624,0.0017162700829389866,5,35874
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,Explicit,0.38338556383251987,0.0023065841977411385,5,19465
qwen25_0p5b,Qwen2.5-0.5B,without_metadata,Without metadata,Ambiguous,0.4069595953440185,0.0018736123545629586,5,16409
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,Overall,0.46765345375480843,0.0013778711079897768,5,35874
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,Explicit,0.434348831235551,0.0019197070550645641,5,19465
qwen25_1p5b,Qwen2.5-1.5B,with_metadata,With metadata,Ambiguous,0.5071607044914376,0.0011120901694737265,5,16409
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,Overall,0.4470814517477839,0.0010051756917579685,5,35874
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,Explicit,0.46625224762394046,0.001214433645381355,5,19465
qwen25_1p5b,Qwen2.5-1.5B,without_metadata,Without metadata,Ambiguous,0.4243403010542995,0.0019449050395798626,5,16409
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,Overall,0.4552656520042371,0.0005381457224712547,5,35874
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,Explicit,0.4208168507577703,0.0008182873276498255,5,19465
qwen25_3b,Qwen2.5-3B,with_metadata,With metadata,Ambiguous,0.49613017246632946,0.0017009306766960638,5,16409
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,Overall,0.41981936778725537,0.0016390368933421997,5,35874
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,Explicit,0.4266015926021063,0.0017886803327776461,5,19465
qwen25_3b,Qwen2.5-3B,without_metadata,Without metadata,Ambiguous,0.41177402644889993,0.0018601841206731494,5,16409
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,Overall,0.382170931593912,0.0008422782477414287,5,35874
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,Explicit,0.3554379655792448,0.0014940991970437928,5,19465
qwen35_0p8b,Qwen3.5-0.8B,with_metadata,With metadata,Ambiguous,0.4138826253885063,0.001087266993693082,5,16409
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,Overall,0.3766794893237442,0.00116360770835377,5,35874
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,Explicit,0.3737066529668636,0.0014541729515492857,5,19465
qwen35_0p8b,Qwen3.5-0.8B,without_metadata,Without metadata,Ambiguous,0.3802059845206899,0.0013347586506266666,5,16409
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,Overall,0.4684339633160507,0.0005625710781113426,5,35874
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,Explicit,0.44591831492422296,0.001075429086871391,5,19465
qwen35_2b,Qwen3.5-2B,with_metadata,With metadata,Ambiguous,0.4951429093789993,0.001774348715968041,5,16409
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,Overall,0.42015944695322516,0.0011807436601471866,5,35874
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,Explicit,0.42635499614693034,0.0011527770702448972,5,19465
qwen35_2b,Qwen3.5-2B,without_metadata,Without metadata,Ambiguous,0.4128100432689378,0.0017816596192697224,5,16409
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,Overall,0.33432012042147513,0.00047942345905097874,5,35874
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,Explicit,0.30638582070382736,0.0008101836686033059,5,19465
qwen35_4b,Qwen3.5-4B,with_metadata,With metadata,Ambiguous,0.36745688341763666,0.00036208058449663553,5,16409
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,Overall,0.3285220493951051,0.0004052004739999077,5,35874
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,Explicit,0.3051014641664526,0.0008429137139273114,5,19465
qwen35_4b,Qwen3.5-4B,without_metadata,Without metadata,Ambiguous,0.3563044670607593,0.000794121086197186,5,16409
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,Overall,0.33661704855884483,0.000575813068950899,5,35874
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,Explicit,0.30606730028255846,0.0009336839186762525,5,19465
qwen35_9b,Qwen3.5-9B,with_metadata,With metadata,Ambiguous,0.37285635931501004,0.00048063243715352105,5,16409
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,Overall,0.3328706026648826,0.0004383613486270452,5,35874
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,Explicit,0.30807089648086305,0.0004151472663927339,5,19465
qwen35_9b,Qwen3.5-9B,without_metadata,Without metadata,Ambiguous,0.3622889877506247,0.0008054977608275746,5,16409
